property_type,area_type,availability,location,size,area,bath,balcony,price_per_sqft,price
flat,Super built-up  Area,19-Dec,Electronic City Phase II,2,1056.0,2,1,3693.0,0.39
house,Plot  Area,Ready To Move,Chikka Tirupathi,4,2600.0,5,3,4615.0,1.2
flat,Built-up  Area,Ready To Move,Uttarahalli,3,1440.0,2,3,4306.0,0.62
flat,Super built-up  Area,Ready To Move,Lingadheeranahalli,3,1521.0,3,1,6246.0,0.95
flat,Super built-up  Area,Ready To Move,Kothanur,2,1200.0,2,1,4250.0,0.51
flat,Super built-up  Area,Ready To Move,Whitefield,2,1170.0,2,1,3248.0,0.38
flat,Super built-up  Area,Ready To Move,Marathahalli,3,1310.0,3,1,4809.0,0.63
flat,Super built-up  Area,18-Feb,Whitefield,3,1800.0,2,2,3889.0,0.7
house,Plot  Area,Ready To Move,Whitefield,4,2785.0,5,3,10592.0,2.95
flat,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1000.0,2,1,3800.0,0.38
flat,Built-up  Area,Ready To Move,Gottigere,2,1100.0,2,2,3636.0,0.4
house,Plot  Area,Ready To Move,Sarjapur,3,2250.0,3,2,6578.0,1.48
flat,Super built-up  Area,Ready To Move,Mysore Road,2,1175.0,2,2,6298.0,0.74
flat,Super built-up  Area,Ready To Move,Bisuvanahalli,3,1180.0,3,2,4068.0,0.48
flat,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1540.0,3,3,3896.0,0.6
flat,Super built-up  Area,Ready To Move,other,3,2770.0,4,2,10469.0,2.9
flat,Super built-up  Area,Ready To Move,other,2,1100.0,2,2,4364.0,0.48
flat,Built-up  Area,Ready To Move,Kengeri,1,600.0,1,1,2500.0,0.15
flat,Super built-up  Area,19-Dec,Binny Pete,3,1755.0,3,1,6952.0,1.22
house,Plot  Area,Ready To Move,Thanisandra,4,2800.0,5,2,13571.0,3.8
flat,Super built-up  Area,Ready To Move,Bellandur,3,1767.0,3,1,5829.0,1.03
flat,Super built-up  Area,18-Nov,other,1,510.0,1,0,4902.0,0.25
flat,Super built-up  Area,18-May,other,3,1250.0,3,2,4480.0,0.56
flat,Super built-up  Area,Ready To Move,Electronic City,2,660.0,1,1,3485.0,0.23
flat,Built-up  Area,20-Dec,Whitefield,3,1610.0,3,2,5031.0,0.81
flat,Super built-up  Area,17-Oct,Ramagondanahalli,2,1151.0,2,2,4257.0,0.49
flat,Super built-up  Area,Ready To Move,Electronic City,3,1025.0,2,1,4585.0,0.47
flat,Super built-up  Area,19-Dec,Yelahanka,4,2475.0,4,0,7515.0,1.86
flat,Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2,1,3256.0,0.35
flat,Super built-up  Area,Ready To Move,Hebbal,3,1760.0,2,2,6989.0,1.23
flat,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1693.0,3,3,3367.0,0.57
flat,Super built-up  Area,21-Dec,Kanakpura Road,2,700.0,2,1,5143.0,0.36
flat,Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1070.0,2,1,4299.0,0.46
flat,Super built-up  Area,Ready To Move,Kundalahalli,3,1724.0,3,2,7251.0,1.25
flat,Super built-up  Area,Ready To Move,Chikkalasandra,3,1290.0,2,2,4341.0,0.56
flat,Built-up  Area,Ready To Move,Uttarahalli,2,1143.0,2,2,3937.0,0.45
flat,Super built-up  Area,19-Dec,Sarjapur  Road,3,1254.0,3,2,3030.0,0.38
flat,Super built-up  Area,Ready To Move,Ganga Nagar,1,600.0,1,0,6333.0,0.38
house,Plot  Area,Ready To Move,Yelahanka,1,660.0,1,0,7273.0,0.48
flat,Super built-up  Area,19-Sep,Kanakpura Road,2,1330.7,2,2,6914.0,0.92
flat,Super built-up  Area,Ready To Move,Doddathoguru,2,970.0,2,0,3402.0,0.33
flat,Super built-up  Area,20-Sep,Whitefield,2,1459.0,2,1,6511.0,0.95
house,Plot  Area,Ready To Move,KR Puram,2,800.0,1,1,16250.0,1.3
flat,Built-up  Area,Ready To Move,other,2,869.0,2,1,4143.0,0.36
flat,Super built-up  Area,Ready To Move,other,2,1270.0,2,1,3937.0,0.5
flat,Super built-up  Area,18-Mar,Bhoganhalli,3,1670.0,3,1,5928.0,0.99
flat,Built-up  Area,Ready To Move,Whitefield,3,2010.0,3,2,4527.0,0.91
flat,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,1185.0,2,2,6329.0,0.75
flat,Super built-up  Area,Ready To Move,Yelahanka,3,1600.0,2,3,4688.0,0.75
flat,Super built-up  Area,Ready To Move,Begur Road,2,1200.0,2,2,3667.0,0.44
flat,Super built-up  Area,Ready To Move,other,2,1500.0,2,2,12333.0,1.85
house,Plot  Area,Ready To Move,Murugeshpalya,6,1407.0,4,1,10661.0,1.5
flat,Super built-up  Area,Ready To Move,other,2,840.0,2,2,5357.0,0.45
house,Plot  Area,Ready To Move,other,3,4395.0,3,2,5461.0,2.4
flat,Super built-up  Area,Ready To Move,Ganga Nagar,2,845.0,2,1,6509.0,0.55
house,Plot  Area,Ready To Move,Whitefield,4,5700.0,5,3,11404.0,6.5
flat,Built-up  Area,Ready To Move,Varthur,2,1160.0,2,2,3793.0,0.44
flat,Built-up  Area,Ready To Move,Bommanahalli,8,3000.0,8,0,4667.0,1.4
flat,Super built-up  Area,Ready To Move,Doddathoguru,2,1100.0,2,1,5636.0,0.62
flat,Super built-up  Area,18-Apr,Gunjur,2,1140.0,2,3,3772.0,0.43
flat,Super built-up  Area,Ready To Move,Marathahalli,2,1220.0,2,1,4672.0,0.57
house,Plot  Area,Ready To Move,other,8,1350.0,7,0,6296.0,0.85
flat,Super built-up  Area,Ready To Move,Kanakpura Road,2,1005.0,2,1,3682.0,0.37
house,Plot  Area,Ready To Move,other,3,500.0,3,2,20000.0,1.0
flat,Super built-up  Area,20-Aug,Begur Road,2,1358.0,2,1,5965.0,0.81
flat,Super built-up  Area,Ready To Move,Hegde Nagar,3,1569.0,3,1,6437.0,1.01
flat,Super built-up  Area,18-Apr,Haralur Road,2,1240.0,2,1,5645.0,0.7
flat,Super built-up  Area,Ready To Move,Hennur Road,3,2089.0,3,2,6702.0,1.4
flat,Super built-up  Area,Ready To Move,Kothannur,2,1206.0,2,1,3980.0,0.48
flat,Super built-up  Area,Ready To Move,Kalena Agrahara,2,1150.0,2,3,3478.0,0.4
flat,Built-up  Area,Ready To Move,other,3,2511.0,3,3,8164.0,2.05
flat,Built-up  Area,Ready To Move,Kaval Byrasandra,2,460.0,1,0,4783.0,0.22
flat,Built-up  Area,Ready To Move,ISRO Layout,6,4400.0,6,3,5682.0,2.5
flat,Super built-up  Area,Ready To Move,other,3,1660.0,2,2,6325.0,1.05
flat,Super built-up  Area,19-Mar,Yelahanka,2,1326.0,2,2,5882.0,0.78
flat,Super built-up  Area,Ready To Move,Garudachar Palya,3,1325.0,2,2,4604.0,0.61
flat,Super built-up  Area,Ready To Move,EPIP Zone,3,1499.0,5,2,6805.0,1.02
flat,Built-up  Area,Ready To Move,Hegde Nagar,6,3000.0,7,2,7000.0,2.1
flat,Super built-up  Area,Ready To Move,Kanakpura Road,3,1665.0,3,2,5285.0,0.88
flat,Super built-up  Area,17-Sep,Dasanapura,2,708.0,2,2,5226.0,0.37
flat,Super built-up  Area,Ready To Move,Kasavanhalli,2,1060.0,2,2,5472.0,0.58
house,Plot  Area,Ready To Move,Rajaji Nagar,6,710.0,6,3,22535.0,1.6
flat,Built-up  Area,Ready To Move,Sanjay nagar,2,1000.0,2,2,7000.0,0.7
flat,Super built-up  Area,18-Dec,Electronic City,2,1000.0,2,1,2900.0,0.29
flat,Super built-up  Area,Ready To Move,other,3,1450.0,2,2,4828.0,0.7
house,Plot  Area,Ready To Move,ISRO Layout,4,1200.0,4,2,12917.0,1.55
flat,Super built-up  Area,17-Aug,Thanisandra,2,1296.0,2,3,6173.0,0.8
flat,Super built-up  Area,Ready To Move,Domlur,3,1540.0,3,2,5844.0,0.9
house,Plot  Area,Ready To Move,Kengeri,4,2894.0,4,1,8466.0,2.45
flat,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,1330.0,2,1,3609.0,0.48
flat,Built-up  Area,Ready To Move,other,2,1200.0,2,1,5417.0,0.65
flat,Built-up  Area,Ready To Move,other,3,1200.0,3,1,7500.0,0.9
flat,Super built-up  Area,Ready To Move,Yeshwanthpur,3,2502.0,3,3,5516.0,1.38
flat,Built-up  Area,Ready To Move,Chandapura,2,650.0,1,1,2615.0,0.17
house,Plot  Area,Ready To Move,Kothanur,3,2400.0,2,1,6250.0,1.5
flat,Super built-up  Area,Ready To Move,other,2,1007.0,2,2,4270.0,0.43
flat,Super built-up  Area,Ready To Move,other,2,1200.0,2,2,4167.0,0.5
flat,Super built-up  Area,Ready To Move,other,2,966.0,2,2,5176.0,0.5
flat,Built-up  Area,Ready To Move,Nagarbhavi,3,1630.0,2,1,6012.0,0.98
flat,Built-up  Area,Ready To Move,Rajaji Nagar,3,1640.0,3,2,13963.0,2.29
flat,Built-up  Area,Ready To Move,other,2,782.0,2,2,7161.0,0.56
flat,Super built-up  Area,19-Apr,Devanahalli,2,1260.0,2,2,5317.0,0.67
flat,Super built-up  Area,Ready To Move,other,3,1800.0,3,3,6667.0,1.2
flat,Super built-up  Area,Ready To Move,other,3,1413.0,2,2,5308.0,0.75
flat,Super built-up  Area,Ready To Move,Whitefield,2,1116.0,2,1,4659.0,0.52
flat,Super built-up  Area,Ready To Move,Electronic City,3,1530.0,2,1,3007.0,0.46
flat,Built-up  Area,Ready To Move,Ramamurthy Nagar,4,3700.0,4,1,6081.0,2.25
flat,Built-up  Area,Ready To Move,Sarjapur  Road,3,2497.0,3,2,5607.0,1.4
flat,Super built-up  Area,Ready To Move,Kengeri,3,1540.0,2,3,4156.0,0.64
flat,Super built-up  Area,18-Dec,Thanisandra,3,1436.0,3,1,5223.0,0.75
