property_type,area_type,availability,location,bedroom,area,bath,balcony,price_per_sqft,price,built_up_area
flat,Super built-up  Area,Ready To Move,somasundara palya,2,1140.0,2,2,4035.0,0.46,969.0
flat,Super built-up  Area,Under Construction,marathahalli,3,1305.0,2,1,5287.0,0.69,1109.25
flat,Super built-up  Area,Ready To Move,chikkalasandra,3,1270.0,2,3,4331.0,0.55,1079.5
flat,Super built-up  Area,Ready To Move,harlur,2,1290.0,2,1,6589.0,0.85,1096.5
flat,Built-up  Area,Ready To Move,other,3,1503.0,2,2,6188.0,0.93,1503.0
flat,Super built-up  Area,Ready To Move,hulimavu,3,1260.0,2,1,6508.0,0.82,1071.0
flat,Super built-up  Area,Ready To Move,ambalipura,3,1607.0,2,2,6970.0,1.12,1365.95
flat,Super built-up  Area,Ready To Move,sarjapur  road,3,1181.0,2,1,5504.0,0.65,1003.85
flat,Built-up  Area,Ready To Move,budigere,1,664.0,1,1,5120.0,0.34,664.0
flat,Super built-up  Area,Ready To Move,pai layout,2,1400.0,2,2,4071.0,0.57,1190.0
flat,Built-up  Area,Ready To Move,electronic city,2,1210.0,2,1,4545.0,0.55,1210.0
flat,Built-up  Area,Ready To Move,cooke town,3,2388.0,4,3,10008.0,2.39,2388.0
flat,Super built-up  Area,Under Construction,padmanabhanagar,3,2051.0,3,2,8289.0,1.7,1743.35
flat,Super built-up  Area,Ready To Move,btm 2nd stage,3,1265.0,2,3,4348.0,0.55,1075.25
flat,Super built-up  Area,Ready To Move,electronic city,2,1108.0,2,1,5686.0,0.63,941.8
flat,Super built-up  Area,Ready To Move,other,2,1441.0,2,1,7981.0,1.15,1224.85
flat,Super built-up  Area,Ready To Move,6th phase jp nagar,3,1515.0,2,2,8911.0,1.35,1287.75
flat,Super built-up  Area,Ready To Move,bellandur,2,1201.0,2,2,4996.0,0.6,1020.85
flat,Super built-up  Area,Ready To Move,babusapalaya,3,1358.0,2,1,3166.0,0.43,1154.3
flat,Super built-up  Area,Ready To Move,1st phase jp nagar,3,2065.0,4,1,10169.0,2.1,1755.25
flat,Built-up  Area,Ready To Move,other,2,2015.0,4,0,16129.0,3.25,2015.0
flat,Super built-up  Area,Ready To Move,whitefield,4,3252.0,4,3,8610.0,2.8,2764.2
house,Plot  Area,Under Construction,kaggalipura,4,3150.0,5,1,6730.0,2.12,3150.0
flat,Super built-up  Area,Ready To Move,budigere,2,1153.0,2,2,4857.0,0.56,980.05
flat,Super built-up  Area,Ready To Move,mahadevpura,3,1620.0,2,1,4691.0,0.76,1377.0
flat,Super built-up  Area,Ready To Move,balagere,2,1007.0,2,1,7448.0,0.75,855.9499999999999
flat,Super built-up  Area,Ready To Move,bannerghatta road,2,1160.0,2,2,3879.0,0.45,986.0
flat,Super built-up  Area,Ready To Move,hulimavu,3,1758.0,3,2,3697.0,0.65,1494.3
flat,Super built-up  Area,Ready To Move,sarjapur  road,3,1525.0,2,2,3934.0,0.6,1296.25
flat,Super built-up  Area,Ready To Move,hennur,3,1340.0,2,2,4030.0,0.54,1139.0
flat,Super built-up  Area,Under Construction,yelahanka,2,1519.0,2,3,4279.0,0.65,1291.15
flat,Built-up  Area,Ready To Move,anekal,2,620.0,1,1,3871.0,0.24,620.0
flat,Super built-up  Area,Ready To Move,kalena agrahara,2,1270.0,2,2,7874.0,1.0,1079.5
flat,Super built-up  Area,Ready To Move,thanisandra,2,1200.0,2,3,5000.0,0.6,1020.0
flat,Super built-up  Area,Ready To Move,kengeri satellite town,2,1120.0,2,2,4375.0,0.49,952.0
flat,Super built-up  Area,Ready To Move,other,3,1082.0,2,0,3882.0,0.42,919.7
house,Plot  Area,Ready To Move,other,1,1200.0,1,0,3750.0,0.45,1200.0
flat,Super built-up  Area,Ready To Move,other,3,3155.0,4,2,11727.0,3.7,2681.75
flat,Super built-up  Area,Ready To Move,hennur road,2,950.0,2,1,5789.0,0.55,807.5
flat,Super built-up  Area,Ready To Move,epip zone,3,2710.0,3,2,6531.0,1.77,2303.5
flat,Super built-up  Area,Ready To Move,electronic city,3,1800.0,3,2,5278.0,0.95,1530.0
flat,Super built-up  Area,Under Construction,jakkur,3,2197.0,3,2,6190.0,1.36,1867.45
flat,Super built-up  Area,Under Construction,hosa road,3,1541.0,3,1,4543.0,0.7,1309.85
flat,Super built-up  Area,Ready To Move,thanisandra,2,1100.0,2,1,3455.0,0.38,935.0
flat,Super built-up  Area,Ready To Move,kundalahalli,3,1724.0,3,1,7251.0,1.25,1465.4
flat,Built-up  Area,Ready To Move,ananth nagar,2,960.0,2,3,3854.0,0.37,960.0
flat,Super built-up  Area,Under Construction,old madras road,2,1171.0,2,2,6234.0,0.73,995.35
flat,Built-up  Area,Ready To Move,mahadevpura,4,3555.0,4,1,6470.0,2.3,3555.0
flat,Built-up  Area,Ready To Move,other,3,1455.0,2,1,3093.0,0.45,1455.0
house,Plot  Area,Ready To Move,other,2,900.0,2,1,5333.0,0.48,900.0
flat,Built-up  Area,Ready To Move,7th phase jp nagar,3,1420.0,2,1,7042.0,1.0,1420.0
flat,Super built-up  Area,Ready To Move,rachenahalli,2,1050.0,2,2,4952.0,0.52,892.5
flat,Super built-up  Area,Ready To Move,other,11,5000.0,9,3,7200.0,3.6,4250.0
flat,Super built-up  Area,Ready To Move,yelahanka new town,3,1400.0,2,2,5714.0,0.8,1190.0
house,Plot  Area,Under Construction,chikka tirupathi,4,4500.0,5,3,3333.0,1.5,4500.0
flat,Super built-up  Area,Under Construction,yelahanka,2,1026.0,2,1,3996.0,0.41,872.1
flat,Super built-up  Area,Ready To Move,arekere,3,2060.0,3,2,6796.0,1.4,1751.0
house,Plot  Area,Ready To Move,yelahanka,3,1550.0,3,1,7742.0,1.2,1550.0
flat,Super built-up  Area,Under Construction,whitefield,1,905.0,1,1,6630.0,0.6,769.25
flat,Super built-up  Area,Ready To Move,hebbal,3,3895.0,3,2,10013.0,3.9,3310.75
flat,Super built-up  Area,Ready To Move,kr puram,2,1204.0,2,2,4817.0,0.58,1023.4
flat,Super built-up  Area,Ready To Move,kanakapura,2,1190.0,2,2,3277.0,0.39,1011.5
flat,Super built-up  Area,Ready To Move,8th phase jp nagar,2,1100.0,2,3,3182.0,0.35,935.0
flat,Super built-up  Area,Under Construction,haralur road,3,1875.0,3,2,5867.0,1.1,1593.75
house,Plot  Area,Ready To Move,other,1,672.0,1,1,4018.0,0.27,672.0
flat,Super built-up  Area,Ready To Move,kudlu gate,3,1656.0,3,2,4529.0,0.75,1407.6
house,Plot  Area,Ready To Move,other,2,1500.0,1,0,14533.0,2.18,1500.0
house,Plot  Area,Ready To Move,other,2,1290.0,1,0,6047.0,0.78,1290.0
flat,Super built-up  Area,Ready To Move,gottigere,3,1385.0,3,2,4621.0,0.64,1177.25
flat,Super built-up  Area,Ready To Move,yeshwanthpur,3,1382.0,2,2,5499.0,0.76,1174.7
flat,Super built-up  Area,Under Construction,other,2,1200.0,2,2,4583.0,0.55,1020.0
flat,Super built-up  Area,Under Construction,hennur road,2,1232.0,2,1,7062.0,0.87,1047.2
flat,Super built-up  Area,Ready To Move,epip zone,2,1285.0,2,2,6381.0,0.82,1092.25
flat,Super built-up  Area,Ready To Move,other,3,1495.0,2,1,4214.0,0.63,1270.75
flat,Super built-up  Area,Ready To Move,other,1,2559.0,1,1,2149.0,0.55,2175.15
